貨幣對,年化報酬,MDD,MDD收盤,Sharpe,Calmar,總報酬,勝率,獲利因子,交易數,止盈,停損,中位手數,最大手數,回測年數,成本估計,點差
AUDCAD,1.0848,0.3303,0.3213,2.916,3.284,1.8644,94.382,3.1936,178,170,8,0.0231,0.029,1.7121,False,1.2
GBPNZD,0.8932,0.4521,0.4251,2.084,1.9754,1.534,92.1687,2.1886,166,155,11,0.0113,0.0145,1.7121,False,2.4
AUDCHF,0.984,0.4961,0.4212,1.7737,1.9834,1.6906,91.8367,2.6723,147,139,8,0.023,0.0289,1.7121,False,0.8
AUDUSD,1.0374,0.54,0.5298,1.4684,1.9212,1.7827,93.4641,2.1612,153,143,10,0.0231,0.0303,1.7121,False,0.3
GBPCAD,0.6075,0.3051,0.2861,1.3462,1.9913,1.0424,93.7107,1.9953,159,150,9,0.0113,0.0146,1.7121,False,1.5
NZDCAD,0.8276,0.4487,0.4186,1.296,1.8444,1.421,94.2675,2.2473,157,150,7,0.0261,0.0323,1.7121,False,1.3
EURAUD,0.6657,0.4477,0.4362,1.2756,1.4868,1.1424,91.9753,1.9838,162,154,8,0.013,0.0175,1.7121,False,1.0
EURCHF,0.4729,0.3023,0.2865,1.2283,1.5647,0.8111,92.5373,2.2317,134,127,7,0.0132,0.0173,1.7121,False,0.8
NZDUSD,0.8786,0.5879,0.563,1.1493,1.4943,1.5089,92.1569,1.9063,153,142,11,0.026,0.0324,1.7121,False,0.5
GBPCHF,0.4327,0.6123,0.5668,0.9815,0.7067,0.7419,90.6977,2.0909,129,121,8,0.0113,0.0148,1.7121,False,1.3
NZDCHF,0.5745,0.6822,0.5598,0.9453,0.8421,0.9855,91.791,1.6697,134,123,11,0.0259,0.0325,1.7121,False,1.1
USDNOK,0.5112,0.7841,0.7721,0.6924,0.6519,0.8768,90.1639,1.4808,122,113,9,0.015,0.018,1.7121,False,59.25
CADCHF,0.3147,0.6662,0.651,0.5454,0.4724,0.5394,89.6,1.4952,125,116,9,0.021,0.026,1.7121,False,0.9
