品種,分類,典型點差(Pips),1Pip點值($),單手點差成本($),單手來回佣金($),單手總開倉成本($),做多Swap($/手/日),做空Swap($/手/日),3倍利息日
EURUSD,主要貨幣對,0.8,10.0,8.0,6.0,14.0,-6.2,1.5,週三 (Wednesday)
USDJPY,主要貨幣對,0.9,6.85,6.17,6.0,12.16,12.5,-18.2,週三 (Wednesday)
GBPUSD,主要貨幣對,1.2,10.0,12.0,6.0,18.0,-3.8,-2.1,週三 (Wednesday)
AUDUSD,主要貨幣對,1.2,10.0,12.0,6.0,18.0,-2.4,-1.8,週三 (Wednesday)
USDCAD,主要貨幣對,1.5,7.35,11.02,6.0,17.02,-1.2,-4.5,週三 (Wednesday)
USDCHF,主要貨幣對,1.5,11.8,17.7,6.0,23.7,6.8,-11.5,週三 (Wednesday)
NZDUSD,主要貨幣對,1.8,10.0,18.0,6.0,24.0,-1.9,-2.8,週三 (Wednesday)
EURJPY,交叉貨幣對,1.4,6.85,9.59,6.0,15.59,8.4,-14.3,週三 (Wednesday)
GBPJPY,交叉貨幣對,2.0,6.85,13.7,6.0,19.7,14.2,-21.5,週三 (Wednesday)
CADJPY,交叉貨幣對,2.2,6.85,15.07,6.0,21.07,9.1,-15.8,週三 (Wednesday)
CHFJPY,交叉貨幣對,2.2,6.85,15.07,6.0,21.07,6.2,-13.5,週三 (Wednesday)
EURGBP,交叉貨幣對,1.5,12.8,19.2,6.0,25.2,-5.1,0.8,週三 (Wednesday)
EURCHF,交叉貨幣對,1.8,11.8,21.24,6.0,27.24,1.5,-6.2,週三 (Wednesday)
EURAUD,交叉貨幣對,2.2,6.55,14.41,6.0,20.41,-7.2,1.8,週三 (Wednesday)
GBPAUD,交叉貨幣對,2.5,6.55,16.38,6.0,22.38,-6.5,-1.2,週三 (Wednesday)
AUDNZD,交叉貨幣對,2.2,5.95,13.09,6.0,19.09,-3.5,-2.1,週三 (Wednesday)
AUDCAD,交叉貨幣對,2.0,7.35,14.7,6.0,20.7,-2.8,-2.5,週三 (Wednesday)
NZDCAD,交叉貨幣對,2.2,7.35,16.17,6.0,22.17,-3.1,-2.2,週三 (Wednesday)
AUDCHF,交叉貨幣對,2.0,11.8,23.6,6.0,29.6,4.5,-8.2,週三 (Wednesday)
XAUUSD,貴金屬,1.8,10.0,18.0,6.0,24.0,-14.5,4.2,週三 (Wednesday)
