pair,sharpe,calmar,ann,mdd,smooth,spread,現用
AUDCAD,2.113629008159656,1.9088162361678818,1.068640092256179,0.5598444061863016,0.9425059170863169,1.1,✅
AUDCHF,1.9661997744117368,2.5053784826148284,1.3319705111624724,0.5316444283389524,0.9881934357243636,0.8,✅
NZDCHF,1.8677286040216283,2.2387367574340287,1.243266878351812,0.55534304076769,0.9459320760178255,1.1,✅
GBPNZD,1.725372843970606,1.664104952830357,0.8496800022760764,0.5105927969452386,0.9579890378729099,2.2,✅
AUDUSD,1.7133384310847641,1.8367884879640775,1.2647726302685847,0.6885782650295662,0.9476949331167388,0.3,✅
EURAUD,1.5350311929143616,1.6232837808983653,0.9466041156281024,0.5831414856521442,0.9438067207920086,1.0,✅
CADCHF,1.3886917727263026,2.355230207576754,0.8470763521648994,0.3596575610485389,0.911565100066309,0.9,
NZDUSD,1.3305804115974589,1.602644260902405,1.1342694227312267,0.707748719040463,0.8965370875649907,0.5,✅
GBPCHF,1.2816141698665668,1.7232423116904247,0.7186626713456823,0.4170409851651715,0.9688271029287492,1.3,✅
NZDCAD,1.2404625735982708,2.192209404935194,0.9069279815238307,0.4137049952810695,0.8313415486446466,1.2,
CADJPY,1.230853539597042,1.08111198485557,0.8990021960916694,0.831553260610436,0.8452106218313358,0.9,✅
EURJPY,1.143853237185212,1.2270017271246192,0.7255508551674561,0.5913201580145504,0.9361056986697034,1.1,
EURCHF,1.134310440660814,1.4357391897003313,0.49794191714271907,0.34681919997367344,0.7250783306509971,0.8,✅
GBPCAD,1.058324453003889,1.0003312833409552,0.5390985417671468,0.5389200065468703,0.9590156941721959,1.5,
EURNZD,0.8846698196394952,0.7237627381369708,0.4649466187814255,0.6424019838023703,0.6835737492320174,1.9,
NZDJPY,0.8311020658153806,0.8324010616612786,0.6907193887424778,0.8297915759068866,0.8816746983456599,1.2,
EURGBP,0.82227136450002,0.5413115295477562,0.32309468094917637,0.5968738209199218,0.9218805794220039,0.5,
EURUSD,0.7394351643510712,0.6848522115907641,0.49279520210252503,0.7195642998039942,0.7824756953514415,0.1,
EURCAD,0.5916531295457986,0.36018687829274615,0.29780002802251015,0.8267931064953167,0.8325722255699312,1.5,
USDJPY,0.5472544424497553,0.5527414523180181,0.43137113680034034,0.7804211806285017,0.8937556732671059,0.3,
GBPJPY,0.4998909215364753,0.5402250773844253,0.38992294429049945,0.7217786819122977,0.9456706859143074,2.0,
CHFJPY,0.4666568141176625,0.3465928210090033,0.29546130264672676,0.8524738100073103,0.5580444008895897,1.7,
USDCAD,0.4339712570879678,0.4075699443093374,0.20152052453925595,0.49444402697738166,0.395529678483995,0.5,
GBPUSD,0.3921173770510672,0.4705814473795811,0.24843771228666434,0.527937753751412,0.6641261771093827,0.3,
AUDJPY,0.38756361590815375,0.4474684251037796,0.34044270655153586,0.7608195069240434,0.8040625359051984,1.15,
USDCHF,0.2834796768563496,0.2380635029666,0.21113186321948252,0.88687203451385,0.25234897571768083,0.5,
GBPAUD,-0.04355263039006795,-0.031252567009770846,-0.02667394287222402,0.8534960620637865,0.35127725578359803,1.6,
AUDNZD,-0.38812683004476817,-0.27251735046543635,-0.155659741594949,0.5711920409071035,-0.7040039197270697,1.2,
