Timeframe,Pair,Spread,Win Rate %,Total Ret %,Max DD %,Profit Factor,Cycles,Friction$
4H,EURUSD,0.8,100.0,16.97,-1.25,99.0,266,218.8
4H,USDJPY,0.9,100.0,23.87,-1.82,99.0,257,237.3
4H,EURGBP,1.5,100.0,9.44,-1.17,99.0,244,308.4
4H,EURJPY,1.4,100.0,18.88,-3.89,99.0,234,307.9
4H,GBPJPY,2.0,100.0,21.27,-4.66,99.0,242,439.3
4H,CADJPY,2.2,100.0,24.49,-5.3,99.0,259,504.3
4H,CHFJPY,2.2,100.0,17.89,-2.02,99.0,213,458.8
8H,EURUSD,0.8,100.0,14.59,-1.24,99.0,155,121.2
8H,USDJPY,0.9,100.0,18.72,-3.49,99.0,128,126.0
8H,EURGBP,1.5,100.0,6.43,-1.07,99.0,116,154.7
8H,EURJPY,1.4,100.0,13.99,-3.27,99.0,128,165.6
8H,GBPJPY,2.0,100.0,17.89,-3.95,99.0,146,252.8
8H,CADJPY,2.2,100.0,19.03,-4.64,99.0,143,278.8
8H,CHFJPY,2.2,100.0,11.95,-2.35,99.0,101,231.4
