貨幣對,點差(pips),覆蓋年數,K棒數(4H),淨利潤($),總報酬率(%),年化報酬率(%),最大回撤(%),夏普值,勝率(%),交易次數,止盈次數,停損次數,獲利因子,隔夜利息淨額($),結束時仍卡倉
AUDCAD,2.0,2.78,4431,448.4,1.79,0.64,0.42,1.81,94.9,59,57,2,4.19,13.3,False
USDJPY,0.9,2.78,4414,405.22,1.62,0.58,1.41,0.72,85.4,82,71,11,1.36,-103.67,True
AUDUSD,1.2,2.78,4431,397.37,1.59,0.57,0.88,0.78,86.1,79,70,9,1.86,21.54,False
NZDCAD,2.2,2.78,4430,335.79,1.34,0.48,0.5,1.01,90.0,90,83,7,2.01,27.89,True
CADJPY,2.2,2.78,4418,303.98,1.22,0.44,2.04,0.58,88.0,83,74,9,1.29,-69.29,True
USDCHF,1.5,2.28,3636,261.52,1.05,0.46,0.89,0.66,84.5,71,62,9,1.34,-60.51,False
EURUSD,0.8,2.78,4416,206.48,0.83,0.3,0.59,0.7,86.8,91,79,12,1.54,55.91,False
GBPAUD,2.5,2.28,3644,205.24,0.82,0.36,0.57,0.79,90.5,63,59,4,2.31,54.46,True
GBPUSD,1.2,2.78,4416,174.38,0.7,0.25,0.55,0.53,84.9,86,74,12,1.41,34.17,False
AUDNZD,2.2,2.78,4431,127.74,0.51,0.18,0.42,0.61,89.7,68,62,6,1.53,25.16,False
CHFJPY,2.2,2.78,4414,122.52,0.49,0.18,0.87,0.32,87.5,64,57,7,1.14,-43.31,True
EURAUD,2.2,2.28,3638,116.6,0.47,0.2,0.48,0.44,85.3,68,62,6,1.6,62.98,True
USDCAD,1.5,2.78,4431,95.39,0.38,0.14,0.47,0.39,84.3,70,60,10,1.29,11.07,True
GBPJPY,2.0,2.78,4418,91.0,0.36,0.13,1.84,0.18,85.3,68,59,9,0.99,-90.53,True
NZDUSD,1.8,2.78,4430,63.66,0.25,0.09,0.97,0.14,79.6,98,81,17,1.05,21.24,True
EURJPY,1.4,2.78,4419,59.14,0.24,0.08,1.65,0.13,85.7,70,61,9,1.0,-61.21,True
EURGBP,1.5,2.78,4421,42.21,0.17,0.06,0.39,0.23,85.7,84,74,10,1.34,55.39,False
EURCHF,1.8,2.78,4417,-52.41,-0.21,-0.08,1.42,-0.17,84.1,69,60,9,0.86,-12.4,False
