pair,VR6,VR30,ann_vol_pct,swap_long_per_lot,spread_pips,base_ann_return_pct,base_mdd_pct,base_sharpe,base_win_rate,base_trades,base_avg_hold_bars,base_exposure_pct
XAUUSD,1.0587578213639965,0.909140847872663,22.246578622964506,-14.5,1.8,1.1432138735670838,2.417456034973707,0.728357399034908,88.33333333333333,60,13.783333333333333,22.676172196325748
AUDCAD,0.8922077893128726,0.6451762584306646,6.84154675069372,-2.8,2.0,0.641232752615184,0.42351303034237153,1.8136610432130786,94.91525423728814,59,15.35593220338983,20.446851726472577
USDJPY,1.0524736336846776,1.0118923961981305,9.586897903518961,12.5,0.9,0.5798009918819957,1.4074968032532813,0.720699373382474,85.36585365853658,82,14.731707317073171,27.480743090167646
AUDUSD,0.918716434012815,0.7347919336832558,9.14254116681802,-2.4,1.2,0.5686275180202482,0.8770311213214289,0.7774287175237915,86.07594936708861,79,16.443037974683545,29.316181448882872
NZDCAD,1.0026504076017904,0.7813768047340565,6.859297399099629,-3.1,2.2,0.4808747267111668,0.5048096180973943,1.0068828324689887,90.0,90,15.11111111111111,31.173814898419867
USDCHF,1.117453909714821,1.1245657092621681,7.934850718492405,6.8,1.5,0.4567956200063339,0.8938573219569232,0.6599401014614368,84.50704225352112,71,16.760563380281692,32.72827282728273
CADJPY,0.9774466959643486,0.8125210495713776,9.5547034259433,9.1,2.2,0.4355005733280848,2.039806454326342,0.5788334042267532,87.95180722891565,83,13.855421686746988,26.256224535989137
GBPAUD,0.9341080541114924,0.8513703005424152,7.065191464430207,-6.5,2.5,0.35871296823499765,0.5661636364816771,0.793968486175111,90.47619047619048,63,18.063492063492063,31.503841931942922
EURUSD,1.019683535992981,0.9886059139446265,6.701648429716112,-6.2,0.8,0.2961780038782891,0.5925099800426769,0.699555343558002,86.81318681318682,91,15.384615384615385,31.70289855072464
GBPUSD,1.0012290920990832,0.9835156098937607,6.837061426195283,-3.8,1.2,0.2502462972644004,0.5537699458771836,0.5294356003520807,84.88372093023256,86,15.918604651162791,31.000905797101446
EURAUD,0.9626768926182022,0.8608673041268229,7.513419135323006,-7.2,2.2,0.20399947738698465,0.4753225577593038,0.4366808180772292,85.29411764705883,68,18.86764705882353,35.54150632215503
AUDNZD,0.9002928116974902,0.8944879398553889,4.619720291007735,-3.5,2.2,0.18341864487738668,0.41906399909673586,0.6093166367136106,89.70588235294117,68,15.397058823529411,23.628977657413678
CHFJPY,0.98823418250893,0.7863218547292321,7.8045304660375,6.2,2.2,0.17593637064670098,0.8746666022648748,0.32219676443344913,87.5,64,16.0625,23.38015405527866
USDCAD,0.8961005187882216,0.7573712983389382,5.299866697060657,-1.2,1.5,0.13703141473593305,0.4727927181087104,0.3905441225197529,84.28571428571429,70,19.114285714285714,30.33175355450237
GBPJPY,0.9914247687865282,0.9130874271248719,9.103668705131538,14.2,2.0,0.13072772453612824,1.837005489844039,0.18302052736250832,85.29411764705883,68,14.132352941176471,21.865097329108192
NZDUSD,1.0158463419917185,0.8611684262470406,9.155715743658732,-1.9,1.8,0.09148148309057191,0.9694230756988932,0.13638721690255007,79.59183673469387,98,15.846938775510203,35.3273137697517
EURJPY,0.9385207122170829,0.8834424276764151,8.558473292876274,8.4,1.4,0.08498695081302632,1.6541582105826262,0.1299894690717798,85.71428571428571,70,14.9,23.738402353473635
EURGBP,0.9531113196224382,0.9157037490353707,4.3063243082417015,-5.1,1.5,0.06067693807805252,0.38817386987399877,0.22968662785286575,85.71428571428571,84,18.595238095238095,35.33137299253563
EURCHF,0.8899317908023111,0.9450132769374907,5.170897129173396,1.5,1.8,-0.07542843856617187,1.419395225483473,-0.1740553617097261,84.05797101449275,69,18.057971014492754,28.209191759112517
