組合,設定,檔數,年化報酬,MDD,夏普,Calmar,勝率,交易數,平均動用資金比,最高動用資金比
單跑 AUDCAD (最佳單一標的),md原版(只做多/中軌止盈),1,0.641232752615184,0.42351303034237153,1.8136610432130786,1.5140803391499098,94.91525423728814,59,1.7724408422075721,20.33008826985016
單跑 AUDCAD (最佳單一標的),優化版(雙向/較近止盈),1,0.9800577328684223,0.3633523154326332,2.3757556434691924,2.69726568744029,95.95375722543352,173,2.993817909732641,20.643751084087537
前 3 檔,md原版(只做多/中軌止盈),3,1.4053651925217459,0.7320268368314402,1.760010253084989,1.919827418629669,91.50943396226415,212,8.035369788391112,46.680794126674385
前 3 檔,優化版(雙向/較近止盈),3,1.9722846474786504,0.9478655832949526,1.940885323520865,2.0807640684902085,94.0625,640,12.525381575567446,61.391086641413594
前 6 檔,md原版(只做多/中軌止盈),6,2.8037685374223242,2.113646212820293,1.6442556537425226,1.3265079654372163,88.57758620689656,464,17.812126352982176,80.2685413518087
前 6 檔,優化版(雙向/較近止盈),6,2.689876556459958,2.3128272294761616,1.2858210875538738,1.1630252887800856,92.35109717868339,1595,29.86395503012104,108.08224184087894
前 10 檔,md原版(只做多/中軌止盈),10,4.048331122373394,4.20840602806052,1.5798623197310246,0.9619630556985734,87.90637191157347,769,29.647121641050756,99.49293690859113
前 10 檔,優化版(雙向/較近止盈),10,4.58195440473137,4.404653016006284,1.5059477288795768,1.0402532022569728,92.30477634571645,2638,50.486504557612164,147.60273774062503
全部 18 檔,md原版(只做多/中軌止盈),18,4.902737719682881,6.478266890634959,1.3630267867499088,0.7567977365628951,85.86309523809523,1344,52.08466836942275,112.44196750857016
全部 18 檔,優化版(雙向/較近止盈),18,6.4687715781345245,7.351097963295248,1.3021815513778199,0.8799735237421313,92.0008578168561,4663,93.79235627269621,242.08154177578578
