datetime,AUDCAD,AUDNZD,USDCHF,AUDUSD,NZDCAD,GBPAUD,CADJPY,EURAUD,CHFJPY,USDCAD,GBPJPY,GBPUSD,EURUSD,EURJPY,USDJPY
2023-11-23 08:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,-0.0005,0.0023,0.0,0.0,0.0
2023-11-24 08:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,,0.016,0.0,-0.0204,0.0136,0.0,0.0,0.0
2023-11-27 08:00:00+00:00,0.0,0.0119,,-0.0004,0.0,,0.0348,,0.0299,0.0283,-0.0383,-0.0305,0.0,0.0132,0.0
2023-11-28 08:00:00+00:00,0.0,0.0119,,0.0353,0.0,,0.0348,,0.0299,0.0186,0.0347,-0.0162,0.0093,0.0132,0.0137
2023-11-29 08:00:00+00:00,0.0,0.0265,,0.0898,0.0021,,0.0348,,0.0468,0.0159,0.0391,-0.0951,0.0355,0.0266,0.0242
2023-11-30 08:00:00+00:00,0.0,0.02,,0.1234,-0.0102,,0.0535,,0.0468,0.0587,0.0391,-0.0165,0.048,-0.0034,0.0339
2023-12-01 08:00:00+00:00,0.0,0.0147,,0.1234,0.0115,,0.0535,,0.0665,0.0405,0.0391,0.0343,0.0535,0.0133,0.0698
2023-12-04 08:00:00+00:00,0.0,0.0598,,0.1485,0.0497,,0.0535,,0.0665,0.0666,0.0572,0.0513,0.0549,-0.1859,0.0577
2023-12-05 08:00:00+00:00,0.0021,0.0193,,0.1485,0.0671,,0.0535,,0.0665,0.0896,0.0944,0.0513,-0.0074,-0.273,0.078
2023-12-06 08:00:00+00:00,0.0221,0.0233,,0.1714,0.0671,,0.0535,,0.0665,0.0896,0.1038,0.0513,-0.0552,-0.2778,0.0943
2023-12-07 08:00:00+00:00,0.0448,0.0236,,0.1952,0.0671,,-0.0559,,0.0243,0.0896,-0.0849,0.0653,-0.0698,-0.5097,-0.0052
2023-12-08 08:00:00+00:00,0.0448,0.0759,,0.1952,0.0876,,-0.2602,,-0.2251,0.0896,0.0043,0.0653,-0.047,-0.5525,-0.2167
2023-12-11 08:00:00+00:00,0.0448,0.0759,,0.1952,0.0876,,-0.2254,,-0.1929,0.0896,0.0373,0.0784,-0.1468,-0.5109,-0.181
2023-12-12 08:00:00+00:00,0.0448,0.0759,,0.1952,0.0876,,-0.2254,,-0.1929,0.0896,0.0373,0.0784,-0.1404,-0.5109,-0.181
2023-12-13 08:00:00+00:00,0.0448,0.0885,,0.1952,0.0936,,-0.2254,,-0.1929,0.0896,0.0371,0.1001,-0.1404,-0.5109,-0.181
2023-12-14 08:00:00+00:00,0.0336,0.0964,,0.1407,0.131,,-0.2842,,-0.2913,0.0583,-0.1884,0.1266,-0.1634,-0.6513,-0.2896
2023-12-15 08:00:00+00:00,0.0692,0.1227,,0.1321,0.131,,-0.1641,,-0.2249,-0.0045,0.0355,0.0499,-0.1838,-0.434,-0.2579
2023-12-18 08:00:00+00:00,0.0692,0.1346,,0.1165,0.131,,-0.1353,,-0.1464,-0.0306,-0.006,0.1708,-0.0746,-0.367,-0.1634
2023-12-19 08:00:00+00:00,0.0692,0.1346,,0.0999,0.131,,-0.1361,,-0.132,0.0085,0.1467,0.1708,-0.0752,-0.3595,-0.108
2023-12-20 08:00:00+00:00,0.0692,0.1346,,0.0194,0.1337,,-0.088,,-0.1109,-0.0817,0.173,0.1863,-0.0466,-0.3318,-0.108
2023-12-21 08:00:00+00:00,0.0692,0.1346,,0.0606,0.149,,-0.0642,,-0.1109,-0.0794,0.173,0.1863,-0.0508,-0.3318,-0.108
2023-12-22 08:00:00+00:00,0.0889,0.1346,,-0.0965,0.149,,-0.0642,,-0.1109,-0.1362,0.203,0.1858,-0.1045,-0.3318,-0.1147
2023-12-25 08:00:00+00:00,0.0889,0.1346,,-0.0959,0.149,,-0.0642,,-0.1109,-0.1774,0.203,0.2028,-0.0864,-0.3318,-0.0986
2023-12-26 08:00:00+00:00,0.0889,0.1346,,-0.0921,0.149,,-0.0642,,-0.1109,-0.1802,0.203,0.2028,-0.0749,-0.3318,-0.0972
2023-12-27 08:00:00+00:00,0.0889,0.1346,,-0.1559,0.149,,-0.0701,,-0.114,-0.2137,0.203,0.2139,-0.1576,-0.3321,-0.0897
2023-12-28 08:00:00+00:00,0.1061,0.1346,,-0.1425,0.1631,,-0.0622,,-0.1838,-0.1943,0.2025,0.2248,-0.1881,-0.2985,-0.1991
2023-12-29 08:00:00+00:00,0.1061,0.1346,,-0.032,0.1794,,-0.0335,,-0.2555,-0.1531,0.2511,0.2616,-0.1676,-0.2818,-0.0912
2024-01-01 08:00:00+00:00,0.1061,0.1346,,-0.0199,0.1794,,-0.0318,,-0.1234,-0.1385,0.2225,0.2616,-0.1483,-0.2856,-0.1725
2024-01-02 08:00:00+00:00,0.1061,0.1346,,-0.0199,0.1794,,-0.0114,,-0.0878,-0.1385,0.2868,0.2616,-0.1483,-0.2609,-0.046
2024-01-03 08:00:00+00:00,0.1061,0.1346,,-0.0449,0.1794,,0.0093,,-0.0878,-0.1446,0.3098,0.2615,-0.1629,-0.2414,-0.0149
