貨幣對,年化報酬,MDD,Sharpe,Calmar,總報酬,勝率,獲利因子,交易數,止盈,停損,平均持倉根數,資金在場率,回測年數
AUDCAD,0.9801,0.3634,2.3758,2.6973,2.7496,95.9538,3.348,173,169,4,8.0173,31.3022,2.7812
AUDNZD,0.5841,0.366,1.5756,1.5961,1.6331,94.2387,1.9331,243,233,10,7.3951,40.6906,2.7812
USDCHF,0.5467,0.4429,0.76,1.2344,1.2526,90.7767,1.4057,206,191,15,8.5485,48.4323,2.2834
AUDUSD,0.6937,0.8462,0.8423,0.8198,1.9412,91.4591,1.5109,281,260,21,8.242,52.381,2.7812
NZDCAD,0.6349,0.84,1.0775,0.7558,1.7758,93.6508,1.7526,252,240,12,8.0198,45.9594,2.7812
GBPAUD,0.4614,0.6822,0.8387,0.6764,1.0567,93.0233,1.459,215,200,15,8.0372,47.6948,2.2834
CADJPY,0.8529,1.3599,1.0151,0.6272,2.3902,93.7931,1.6673,290,276,14,7.5724,49.8642,2.7812
EURAUD,0.5033,1.0117,0.7473,0.4975,1.153,92.9577,1.4637,213,200,13,8.6479,50.9071,2.2834
CHFJPY,0.226,0.8032,0.3212,0.2814,0.6298,90.9804,1.2538,255,236,19,8.7137,50.3625,2.7812
USDCAD,0.1934,0.725,0.4225,0.2668,0.5389,91.9028,1.263,247,228,19,8.9717,50.1467,2.7812
GBPJPY,0.2683,1.591,0.3215,0.1686,0.7479,91.5751,1.2799,273,253,20,8.0879,49.9774,2.7812
GBPUSD,0.138,0.9498,0.2284,0.1453,0.3842,90.2597,1.1331,308,282,26,7.6494,53.3514,2.7812
EURUSD,0.0663,0.7992,0.1195,0.083,0.1845,91.6667,1.0663,336,308,28,6.9732,53.0571,2.7812
EURJPY,0.034,2.0661,0.0492,0.0165,0.0946,90.9091,1.1118,275,253,22,8.4,52.41,2.7812
USDJPY,-0.0167,1.5656,-0.0161,-0.0107,-0.0464,90.5325,1.0573,338,306,32,7.003,53.7381,2.7812
