貨幣對,年化報酬,MDD,Sharpe,Calmar,總報酬,勝率,交易數
AUDCAD,1.0273883271847195,0.3619230126779426,2.5022793935774965,2.8386930125908894,2.8835871481031496,96.02272727272727,176
AUDNZD,0.6584258192015469,0.35176102561560113,1.7800329603778315,1.8717986679998602,1.8419704827008245,94.62809917355372,242
NZDCAD,0.7501642937818742,0.682876769381322,1.2737106512670446,1.0985353835678344,2.1003230948339913,92.96875,256
CADJPY,1.0332457441905474,1.347694575425023,1.2373344710756555,0.7666764881536251,2.900177965196315,94.17808219178082,292
EURAUD,0.6082435996534574,0.7677299810021871,0.91088453475003,0.7922624030645022,1.3942674704551465,93.42723004694837,213
GBPAUD,0.4852039695247834,0.6839954956752735,0.8828360355194694,0.7093671999195937,1.1113499978177133,93.15068493150685,219
AUDUSD,0.669270342662065,0.9548485226477176,0.8151024556940278,0.7009178176306253,1.8724888317940205,91.22807017543859,285
USDCHF,0.4318498789702918,0.49977720538618303,0.6120657257599421,0.8640847848124584,0.9888056312565313,91.86602870813397,209
CHFJPY,0.40015260579968626,0.7216795211962019,0.568996631441578,0.5544741038742838,1.1168747191773873,91.82879377431907,257
USDCAD,0.2198121116044227,0.6855607134467889,0.4828802961389739,0.3206311378306304,0.6125389404460293,92.0,250
EURJPY,0.17504005255848387,1.858304001896087,0.23913350147721069,0.09419344325787649,0.4875806652319297,90.9090909090909,275
GBPUSD,0.1379560206237418,0.9416840818890793,0.22906819514286536,0.14649925944058975,0.3841548737415287,90.35369774919614,311
GBPJPY,0.13426818543669228,1.9175083431300737,0.16521585383795373,0.0700222170702619,0.37387338654708585,91.30434782608695,276
USDJPY,0.029987499374350968,1.6260584663782889,0.039828267823117366,0.018441833423826364,0.08342351159419922,90.56047197640117,339
EURUSD,-0.040848179170849264,0.8240884090437116,-0.06914711213656759,-0.04956771472887271,-0.11356563451493276,91.34328358208955,335
