rule,hold,offset,ann,mdd,n
smooth,90,0,3.049415033106029,4.055871541410714,38
smooth,90,30,3.6888611496471047,3.4604836694212207,38
smooth,90,60,2.830743398791058,3.876398381779155,38
smooth,90,90,3.2134552118796345,4.055871541410713,37
smooth,120,0,3.316920521028699,2.930121603076471,29
smooth,120,30,3.330694418758573,4.063533667591018,29
smooth,120,60,2.8352376442377425,3.3749613744251414,28
smooth,120,90,3.473569492437667,3.7350877306023276,28
smooth,150,0,3.306179783875618,4.049340126318416,23
smooth,150,30,2.292533595968038,3.4061225170145195,23
smooth,150,60,2.8727781255594387,4.752882920738395,23
smooth,150,90,3.2232163475943487,3.520333791629276,22
winrate,90,0,3.2626199671558442,5.2471966498201965,38
winrate,90,30,3.2858102896273333,5.163424243816942,38
winrate,90,60,2.7700388585064406,5.1885615527292845,38
winrate,90,90,3.1944693934701673,5.247196649820207,37
winrate,120,0,3.1257599868580233,3.557533076039185,29
winrate,120,30,2.6240749159893273,4.469353140688826,29
winrate,120,60,2.9315972748980457,3.711394165933451,28
winrate,120,90,3.414306741033424,4.326945746184545,28
winrate,150,0,3.5586042054672085,5.055640769985828,23
winrate,150,30,3.1837187969174563,2.423723998395671,23
winrate,150,60,2.166216242911667,5.821541722452235,23
winrate,150,90,2.6686132934396145,3.7898323807336918,22
