phase,rule,hold,lookback,ann,chain_mdd,seg_mdd,worst,n
rules,winrate,60,180,2.6386918752258293,4.247364968148483,5.480057084878343,-4.031982011515691,58
rules,hurst,60,180,2.345876234530575,7.354857512869388,9.46606171008018,-6.325025118478428,58
rules,sharpe,60,180,2.6366040340876307,5.162692811435168,5.074697646649543,-4.488747758410638,58
rules,calmar,60,180,2.347110045239442,5.324559327448066,5.123086372634335,-3.6416846839291543,58
rules,smooth,60,180,2.513679912198108,4.159663879169648,5.4840783085544755,-3.6166466683904432,58
rules,revert,60,180,2.6022201352115637,5.962916260749486,6.910124901833088,-5.269604100279408,58
rules,cost,60,180,2.8176131216596456,5.453161304037904,8.05556343833397,-4.030405353077527,58
freq,winrate,30,180,2.737331089570194,4.825455360232802,4.92822907120524,-4.129767258160806,115
freq,winrate,60,180,2.6386918752258293,4.247364968148483,5.480057084878343,-4.031982011515691,58
freq,winrate,90,180,3.2626199671558442,5.2471966498201965,6.273179451464979,-4.086441755424923,38
freq,winrate,120,180,3.1257599868580233,3.557533076039185,5.480057084878343,-3.3371208949376596,29
freq,winrate,180,180,2.5440770660926537,6.187018148607737,8.720804458641714,-5.94717799800662,19
freq,smooth,30,180,2.5593442331715455,5.235928343529932,5.4840783085544755,-3.6577828414533435,115
freq,smooth,60,180,2.513679912198108,4.159663879169648,5.4840783085544755,-3.6166466683904432,58
freq,smooth,90,180,3.049415033106029,4.055871541410714,5.4840783085544755,-3.073472572580737,38
freq,smooth,120,180,3.316920521028699,2.930121603076471,5.4840783085544755,-2.9301216030764623,29
freq,smooth,180,180,2.505286652361538,5.773321409219894,8.55018602656738,-5.483112234112108,19
freq,hurst,30,180,2.1107618296432262,6.3527259778873235,6.222469604459099,-3.677102457399305,115
freq,hurst,60,180,2.345876234530575,7.354857512869388,9.46606171008018,-6.325025118478428,58
freq,hurst,90,180,2.399083512877276,7.552971184934572,10.19343745515549,-6.4527652938897075,38
freq,hurst,120,180,2.7824165335508244,5.246689082321914,9.46606171008018,-5.2466890823219146,29
freq,hurst,180,180,2.7264876873219768,6.801491976719326,10.27225055555658,-6.801491976719321,19
