Symbol,Bars,B&H Ret %,Octo Ret %,Octo MaxDD %,Octo Sharpe,Octo Trades,Freq Ret %,Freq MaxDD %,Freq Sharpe,Freq Trades
AAPL,100000,171.4,-51.47,-59.45,-0.73,8640,-57.14,-61.42,-2.18,7468
NVDA,98759,1521.7,-56.41,-70.66,-0.41,43218,-47.67,-51.4,-0.94,7132
MSFT,100000,142.1,-48.07,-63.45,-0.69,7963,-52.65,-57.6,-2.04,7874
TSLA,100000,157.9,-87.76,-92.99,-1.04,33023,-68.46,-73.85,-1.56,7084
AMZN,100000,63.5,-63.5,-66.74,-0.8,5534,-52.22,-56.55,-1.61,7767
GOOG,100000,350.0,-49.85,-66.44,-0.61,16861,-47.22,-52.54,-1.66,7768
JPM,100000,119.1,-29.22,-37.11,-0.39,4209,-58.79,-63.0,-2.44,8221
WMT,99740,112.2,-30.3,-40.53,-0.44,4770,-29.2,-32.24,-1.26,7676
KO,100000,64.0,-4.23,-21.57,-0.04,2061,-70.52,-70.91,-5.04,8642
DIS,100000,-37.0,-58.63,-65.63,-0.91,1627,-73.42,-73.72,-3.57,8253
