dataset,timeframe,symbol,years_covered,n_bars,net_profit_usd,total_return_pct,annualized_return_pct,max_dd_pct,sharpe,win_rate_pct,n_trades,n_tp,n_sl,profit_factor,stuck_at_end
IBKR真實股票(1年),4H,AAPL,0.95,478,117.6,0.47,0.49,1.05,0.47,87.5,8,7,1,1.47,False
IBKR真實股票(1年),4H,AMD,0.95,478,1223.5,4.89,5.14,0.96,1.92,100.0,9,9,0,,True
IBKR真實股票(1年),4H,AMZN,0.95,478,834.89,3.34,3.51,1.06,1.5,90.9,11,10,1,6.6,False
IBKR真實股票(1年),4H,ARM,0.95,478,232.53,0.93,0.98,4.93,0.21,77.8,9,7,2,1.27,True
IBKR真實股票(1年),4H,ASML,0.95,478,1043.01,4.17,4.38,0.48,2.69,100.0,8,8,0,,True
IBKR真實股票(1年),4H,AVGO,0.95,478,1397.48,5.59,5.87,0.72,2.45,100.0,13,13,0,,True
IBKR真實股票(1年),4H,BA,0.95,478,42.98,0.17,0.18,1.82,0.1,80.0,10,8,2,1.16,True
IBKR真實股票(1年),4H,BABA,0.95,478,-429.75,-1.72,-1.8,5.1,-0.49,71.4,14,10,4,0.78,True
IBKR真實股票(1年),4H,BAC,0.95,478,-55.12,-0.22,-0.23,1.77,-0.14,85.7,7,6,1,0.85,False
IBKR真實股票(1年),4H,BRK.B,0.95,478,331.25,1.32,1.39,0.34,2.0,100.0,10,10,0,,False
IBKR真實股票(1年),4H,CSCO,0.95,478,415.17,1.66,1.74,0.31,1.97,100.0,7,7,0,,True
IBKR真實股票(1年),4H,CVX,0.95,478,158.63,0.63,0.67,1.08,0.63,88.9,9,8,1,1.6,False
IBKR真實股票(1年),4H,DIS,0.95,478,292.21,1.17,1.23,1.42,0.93,91.7,12,11,1,2.05,False
IBKR真實股票(1年),4H,FDX,0.95,478,501.7,2.01,2.11,0.11,3.83,100.0,9,9,0,,False
IBKR真實股票(1年),4H,GE,0.95,478,363.02,1.45,1.52,1.15,0.95,88.9,9,8,1,2.69,True
IBKR真實股票(1年),4H,GM,0.95,478,630.36,2.52,2.65,1.04,1.49,100.0,9,9,0,,False
IBKR真實股票(1年),4H,GME,0.95,478,551.38,2.21,2.31,1.92,0.92,90.0,10,9,1,2.46,False
IBKR真實股票(1年),4H,GOOG,0.95,478,648.83,2.6,2.72,1.21,1.85,90.9,11,10,1,3.15,True
IBKR真實股票(1年),4H,IBM,0.95,478,1015.83,4.06,4.27,1.18,2.06,91.7,12,11,1,4.41,False
IBKR真實股票(1年),4H,INTC,0.95,478,932.54,3.73,3.92,3.59,1.0,100.0,8,8,0,,True
IBKR真實股票(1年),4H,JNJ,0.95,478,245.95,0.98,1.03,0.61,1.02,100.0,8,8,0,,False
IBKR真實股票(1年),4H,JPM,0.95,478,448.73,1.79,1.88,0.55,1.92,100.0,12,12,0,,False
IBKR真實股票(1年),4H,KO,0.95,478,271.95,1.09,1.14,0.3,1.54,100.0,6,6,0,,False
IBKR真實股票(1年),4H,LMT,0.95,478,-342.27,-1.37,-1.44,2.63,-0.71,72.7,11,8,3,0.71,True
IBKR真實股票(1年),4H,MCD,0.95,478,158.89,0.64,0.67,1.34,0.48,88.9,9,8,1,1.74,True
IBKR真實股票(1年),4H,META,0.95,478,800.13,3.2,3.36,1.94,1.25,82.4,17,14,3,2.01,False
IBKR真實股票(1年),4H,MSFT,0.95,478,-278.12,-1.11,-1.17,2.61,-0.47,72.7,11,8,3,0.69,False
IBKR真實股票(1年),4H,MSTR,0.95,478,-1581.67,-6.33,-6.63,11.76,-0.58,60.0,10,6,4,0.45,False
IBKR真實股票(1年),4H,NFLX,0.95,478,-1684.18,-6.74,-7.06,8.61,-2.27,53.3,15,8,7,0.28,False
IBKR真實股票(1年),4H,NKE,0.95,478,-183.44,-0.73,-0.77,3.21,-0.24,76.9,13,10,3,0.96,True
IBKR真實股票(1年),4H,NVDA,0.95,478,736.54,2.95,3.09,0.72,1.77,100.0,9,9,0,,False
IBKR真實股票(1年),4H,PFE,0.95,478,179.3,0.72,0.75,0.72,0.65,100.0,7,7,0,,False
IBKR真實股票(1年),4H,PLTR,0.95,478,680.26,2.72,2.86,3.58,0.66,84.6,13,11,2,1.66,False
IBKR真實股票(1年),4H,QCOM,0.95,478,-823.81,-3.3,-3.45,5.38,-1.14,55.6,9,5,4,0.47,False
IBKR真實股票(1年),4H,RACE,0.95,478,-194.36,-0.78,-0.82,2.38,-0.37,76.9,13,10,3,0.76,False
IBKR真實股票(1年),4H,RTX,0.95,478,8.54,0.03,0.04,1.13,0.03,87.5,8,7,1,1.16,True
IBKR真實股票(1年),4H,SBUX,0.95,478,446.56,1.79,1.87,0.86,1.4,100.0,5,5,0,,False
IBKR真實股票(1年),4H,SNOW,0.95,478,659.21,2.64,2.77,2.61,0.66,81.8,11,9,2,1.74,False
IBKR真實股票(1年),4H,SPCX,0.18,94,-385.39,-1.54,-8.34,3.55,-1.23,50.0,2,1,1,0.26,False
IBKR真實股票(1年),4H,T,0.95,478,-1423.5,-5.69,-5.96,6.12,-2.07,33.3,9,4,5,0.1,False
IBKR真實股票(1年),4H,TSLA,0.95,478,1266.99,5.07,5.32,1.66,2.13,92.9,14,13,1,8.78,False
IBKR真實股票(1年),4H,V,0.95,478,425.55,1.7,1.79,0.63,1.33,100.0,9,9,0,,False
IBKR真實股票(1年),4H,WMT,0.95,478,565.5,2.26,2.37,0.92,1.66,90.0,10,9,1,3.54,True
IBKR真實股票(1年),4H,XOM,0.95,476,391.42,1.57,1.66,0.74,1.45,100.0,6,6,0,,False
IBKR真實股票(1年),4H,ZM,0.95,478,872.28,3.49,3.66,1.65,1.56,100.0,10,10,0,,False
MT5真實點差CFD(2022起),4H,AAPL,4.62,2309,3052.11,12.21,2.53,1.87,1.17,92.0,50,46,4,4.04,False
MT5真實點差CFD(2022起),4H,ADSGn,4.16,3145,-321.68,-1.29,-0.31,5.7,-0.09,78.9,57,45,12,0.92,True
MT5真實點差CFD(2022起),4H,AIRF,4.64,3545,-5453.81,-21.82,-5.17,25.48,-0.8,69.9,73,58,15,0.41,True
MT5真實點差CFD(2022起),4H,ALVG,4.64,3542,150.56,0.6,0.13,4.07,0.08,83.6,61,52,9,1.08,False
MT5真實點差CFD(2022起),4H,AMD,4.64,3326,1260.6,5.04,1.07,7.08,0.31,80.3,66,55,11,1.24,False
MT5真實點差CFD(2022起),4H,AMZN,4.62,2309,2368.17,9.47,1.98,3.48,0.66,88.9,45,40,5,2.19,False
MT5真實點差CFD(2022起),4H,ARM,0.61,309,884.75,3.54,5.86,3.55,1.12,100.0,6,6,0,,True
MT5真實點差CFD(2022起),4H,ASML,4.64,3325,251.1,1.0,0.22,6.85,0.09,78.5,65,52,13,1.05,True
MT5真實點差CFD(2022起),4H,AVGO,4.64,3325,2278.39,9.11,1.9,5.0,0.69,85.0,60,51,9,1.79,True
MT5真實點差CFD(2022起),4H,AZN,4.64,3336,1005.55,4.02,0.85,2.95,0.47,81.4,70,58,12,1.44,False
MT5真實點差CFD(2022起),4H,BA,4.64,3325,115.93,0.46,0.1,5.24,0.05,76.1,71,55,16,1.04,True
MT5真實點差CFD(2022起),4H,BABA,4.62,2309,440.62,1.76,0.38,4.98,0.12,74.6,67,50,17,1.07,True
MT5真實點差CFD(2022起),4H,BAC,4.62,2309,-503.54,-2.01,-0.44,5.38,-0.15,73.8,42,34,8,0.83,False
MT5真實點差CFD(2022起),4H,BAYGn,4.64,3542,35.91,0.14,0.03,6.34,0.02,77.5,80,62,18,1.01,False
MT5真實點差CFD(2022起),4H,BMW,4.16,3151,-481.32,-1.93,-0.47,4.12,-0.19,74.6,59,46,13,0.85,False
MT5真實點差CFD(2022起),4H,BRK.B,4.62,2310,798.71,3.19,0.68,2.27,0.56,87.5,40,35,5,1.85,False
MT5真實點差CFD(2022起),4H,CSCO,4.64,3325,937.15,3.75,0.8,2.18,0.5,87.5,56,49,7,1.71,True
MT5真實點差CFD(2022起),4H,CVX,4.64,3325,622.36,2.49,0.53,2.88,0.29,86.2,65,57,8,1.31,False
MT5真實點差CFD(2022起),4H,DBKGn,4.64,3542,824.08,3.3,0.7,5.03,0.24,89.1,64,57,7,1.22,False
MT5真實點差CFD(2022起),4H,DIS,4.64,3322,-69.24,-0.28,-0.06,4.93,-0.01,78.9,76,62,14,0.98,False
MT5真實點差CFD(2022起),4H,FDX,4.64,3325,2343.14,9.37,1.95,2.74,0.83,86.1,72,65,7,2.34,False
MT5真實點差CFD(2022起),4H,GE,4.64,3327,1188.16,4.75,1.01,5.64,0.44,86.0,57,50,7,1.54,True
MT5真實點差CFD(2022起),4H,GM,0.55,280,506.37,2.03,3.69,1.08,1.64,100.0,7,7,0,,False
MT5真實點差CFD(2022起),4H,GME,4.64,3325,-631.76,-2.53,-0.55,10.31,-0.09,75.9,83,63,20,0.93,True
MT5真實點差CFD(2022起),4H,GOOG,4.62,2309,1566.89,6.27,1.33,3.06,0.61,87.5,48,42,6,1.76,True
MT5真實點差CFD(2022起),4H,IBE,4.64,3542,391.05,1.56,0.34,3.52,0.27,81.2,64,54,10,1.21,True
MT5真實點差CFD(2022起),4H,IBM,4.64,3325,1741.0,6.96,1.46,1.67,0.84,86.4,66,59,7,1.97,False
MT5真實點差CFD(2022起),4H,INTC,4.64,3322,958.2,3.83,0.81,6.26,0.24,82.1,67,57,10,1.28,True
MT5真實點差CFD(2022起),4H,JNJ,4.64,3322,-16.3,-0.07,-0.01,3.61,-0.0,80.3,66,53,13,0.99,False
MT5真實點差CFD(2022起),4H,JPM,4.64,3325,1368.42,5.47,1.16,3.73,0.59,85.5,62,54,8,1.67,False
MT5真實點差CFD(2022起),4H,KO,4.64,3325,334.58,1.34,0.29,2.74,0.27,83.8,68,57,11,1.23,False
MT5真實點差CFD(2022起),4H,LMT,4.64,3325,279.63,1.12,0.24,3.38,0.17,78.8,66,52,14,1.1,True
MT5真實點差CFD(2022起),4H,LVMH,4.64,3540,757.18,3.03,0.65,5.19,0.28,85.0,80,68,12,1.25,True
MT5真實點差CFD(2022起),4H,MBG,4.16,3147,1380.06,5.52,1.3,2.74,0.68,83.3,72,62,10,1.65,False
MT5真實點差CFD(2022起),4H,MCD,0.56,282,-50.26,-0.2,-0.36,1.47,-0.16,66.7,6,5,1,0.82,True
MT5真實點差CFD(2022起),4H,META,4.62,2309,3678.31,14.71,3.02,2.84,0.99,88.5,52,46,6,2.71,False
MT5真實點差CFD(2022起),4H,MSFT,4.62,2309,1245.41,4.98,1.06,3.08,0.54,84.4,45,39,6,1.65,False
MT5真實點差CFD(2022起),4H,MSTR,4.64,3324,-2335.97,-9.34,-2.09,13.16,-0.26,75.3,81,61,20,0.84,False
MT5真實點差CFD(2022起),4H,NFLX,4.62,2309,-1278.88,-5.12,-1.13,8.5,-0.33,72.5,40,29,11,0.7,False
MT5真實點差CFD(2022起),4H,NKE,4.64,3325,-1481.39,-5.93,-1.31,7.68,-0.43,73.0,74,55,19,0.72,True
MT5真實點差CFD(2022起),4H,NVDA,4.62,2309,3194.43,12.78,2.64,6.32,0.79,90.5,42,38,4,2.48,False
MT5真實點差CFD(2022起),4H,PFE,4.62,2309,-724.31,-2.9,-0.63,6.67,-0.3,73.4,64,49,15,0.79,False
MT5真實點差CFD(2022起),4H,PLTR,4.64,3326,5751.84,23.01,4.57,4.76,1.03,88.4,69,62,7,2.77,False
MT5真實點差CFD(2022起),4H,QCOM,4.64,3327,-664.69,-2.66,-0.58,7.22,-0.18,78.5,65,51,14,0.86,False
MT5真實點差CFD(2022起),4H,RACE,4.62,2309,898.96,3.6,0.77,4.49,0.39,87.2,47,41,6,1.45,False
MT5真實點差CFD(2022起),4H,RTX,4.64,3321,1285.19,5.14,1.09,1.96,0.74,89.1,55,50,5,2.01,True
