貨幣對,取樣成功次數,點差中位數(Pips),點差平均(Pips),點差最小(Pips),點差最大(Pips),點差中位數(bps),單手點差成本_中位數($),做多Swap($/手/日),做空Swap($/手/日),3倍利息日,1Pip價值($),標準合約量,調查起始時間,調查結束時間
EURUSD,225,0.10,0.20,0.00,4.90,0.09,1.00,-10.22,0.34,週三 (Wed),10.00,100000,2026.08.28 10:45,2026.09.04 10:45
USDJPY,222,0.40,0.68,0.20,8.40,0.26,2.56,2.60,-12.83,週三 (Wed),6.40,100000,2026.08.28 10:45,2026.09.04 10:45
GBPUSD,218,0.40,0.52,0.20,1.40,0.30,4.00,-5.15,-4.73,週三 (Wed),10.00,100000,2026.08.28 10:45,2026.09.04 10:45
AUDUSD,208,0.40,0.44,0.20,6.90,0.56,4.00,-3.63,-5.59,週三 (Wed),10.00,100000,2026.08.28 10:45,2026.09.04 10:45
USDCAD,207,0.50,0.64,0.30,9.60,0.36,3.62,0.74,-9.00,週三 (Wed),7.25,100000,2026.08.28 10:45,2026.09.04 10:45
USDCHF,196,0.60,0.71,0.30,10.60,0.74,7.42,2.80,-18.34,週三 (Wed),12.37,100000,2026.08.28 10:45,2026.09.04 10:45
NZDUSD,207,0.50,0.65,0.30,14.40,0.85,5.00,-3.71,-1.24,週三 (Wed),10.00,100000,2026.08.28 10:45,2026.09.04 10:45
EURGBP,208,0.50,0.68,0.40,8.80,0.58,6.77,-9.46,0.22,週三 (Wed),13.55,100000,2026.08.28 10:45,2026.09.04 10:45
EURJPY,230,1.10,1.38,0.80,9.30,0.61,7.04,1.30,-7.57,週三 (Wed),6.40,100000,2026.08.28 10:45,2026.09.04 10:45
GBPJPY,234,2.30,2.77,1.30,30.50,1.09,14.72,2.96,-15.97,週三 (Wed),6.40,100000,2026.08.28 10:45,2026.09.04 10:45
AUDNZD,230,1.30,1.89,0.60,31.20,1.06,7.65,0.34,-4.00,週三 (Wed),5.89,100000,2026.08.28 10:45,2026.09.04 10:45
EURCHF,215,0.90,0.97,0.60,8.30,0.96,11.14,1.48,-15.29,週三 (Wed),12.37,100000,2026.08.28 10:45,2026.09.04 10:45
CADJPY,230,1.00,1.28,0.60,12.40,0.88,6.40,0.51,-4.16,週三 (Wed),6.40,100000,2026.08.28 10:45,2026.09.04 10:45
EURAUD,231,1.10,1.48,0.50,22.80,0.68,7.93,-9.97,1.13,週三 (Wed),7.20,100000,2026.08.28 10:45,2026.09.04 10:45
GBPAUD,233,1.80,2.33,0.90,23.40,0.96,12.97,-6.86,-2.80,週三 (Wed),7.20,100000,2026.08.28 10:45,2026.09.04 10:45
AUDCAD,223,1.20,1.47,0.80,13.90,1.21,8.70,1.30,-6.42,週三 (Wed),7.25,100000,2026.08.28 10:45,2026.09.04 10:45
NZDCAD,223,1.30,1.76,0.90,23.70,1.60,9.42,0.14,-3.47,週三 (Wed),7.25,100000,2026.08.28 10:45,2026.09.04 10:45
CHFJPY,229,1.90,2.88,1.00,40.10,0.98,12.16,-6.05,0.81,週三 (Wed),6.40,100000,2026.08.28 10:45,2026.09.04 10:45
XAUUSD,229,45.00,44.56,37.00,88.00,1.00,45.00,-85.00,-13.38,週三 (Wed),1.00,100,2026.08.28 10:45,2026.09.04 10:45
AUDCHF,220,0.80,1.00,0.50,19.30,1.37,9.90,2.54,-12.78,週三 (Wed),12.37,100000,2026.08.28 10:45,2026.09.04 10:45
EURCAD,233,1.60,1.90,1.10,16.50,1.00,11.60,-1.91,-3.33,週三 (Wed),7.25,100000,2026.08.28 10:45,2026.09.04 10:45
