品種,真實點差(bps),總淨利潤($),報酬率(%),最大回撤(%),夏普值,勝率(%),交易次數,點差支出($),手續費($),隔夜利息($),總摩擦成本($)
AMD,3.657213994419404,28826.61,115.31,1.47,4.7,88.6,1464,1236.33,1359.14,1100.12,3695.58
NVDA,4.483502861341825,19894.18,79.58,2.54,3.8,88.7,1173,1194.14,1079.12,1617.45,3890.7
INTC,12.499130807474712,18361.35,73.45,1.47,3.7,85.7,1429,4354.54,1389.99,788.59,6533.12
AVGO,3.120762043545346,16457.22,65.83,1.4,4.04,87.9,1310,975.0,1255.61,1136.15,3366.76
QCOM,6.80267052712254,15801.86,63.21,1.36,3.7,87.7,1386,2254.17,1330.45,320.61,3905.24
PLTR,6.4901325121313915,28143.54,112.57,1.99,3.87,85.7,1472,2208.91,1358.39,2832.83,6400.12
ASML,2.9093120877238072,17908.0,71.63,1.21,4.43,86.8,1366,911.02,1282.15,644.0,2837.17
JPM,3.4314143665352304,11570.77,46.28,1.05,4.32,89.2,1292,1021.81,1191.85,489.69,2703.35
SNOW,7.912549473143152,30290.34,121.16,1.68,4.78,87.4,1397,2590.97,1306.85,471.43,4369.26
LMT,4.87259338588074,7809.75,31.24,0.98,3.28,85.4,1346,1566.85,1288.29,345.37,3200.51
MSFT,1.3154595877891464,31550.94,126.2,0.96,4.58,92.2,3939,1098.07,3370.5,2283.29,6751.86
AAPL,2.086165534332308,32932.58,131.73,1.06,3.35,90.7,4009,1805.91,3495.71,716.34,6017.96
TSLA,1.750110028459284,38990.53,155.96,5.68,2.24,87.2,1403,526.65,1288.44,502.16,2317.24
