symbol,avg_spread_bps,median_spread_bps,coverage_pct,n
SPCX,184.45058921358992,169.13,100.0,4209
AIRF,84.87849660000002,48.96,100.0,100000
GME,39.977602716176726,39.96,11.6,100000
IBE,27.719716448869526,29.2,96.4,100000
DBKGn,24.744737900000004,25.45,100.0,100000
T,19.70094880179073,12.67,92.7,98331
NKE,19.015705221641085,20.33,11.7,100000
VOWG_p,17.907873600000002,24.77,100.0,100000
PFE,16.240972745355283,7.19,94.5,100000
INTC,12.499130807474712,9.83,11.7,100000
GM,11.697420779220781,11.67,100.0,11550
RACE,11.430125300088449,9.88,95.0,100000
KO,11.1238640260631,11.27,11.7,100000
BAYGn,10.824839196783937,7.72,100.0,100000
BAC,10.242680666883778,6.77,95.2,100000
SBUX,9.502692439567976,9.39,11.7,100000
CSCO,9.310660894908281,8.97,11.7,100000
SAN,9.133320375335119,9.34,15.6,95903
DIS,8.865378021601236,8.87,11.7,100000
ARM,8.825456923198859,8.74,100.0,12617
MSTR,8.530343940303627,8.37,12.9,90560
NFLX,7.965684658904019,3.21,60.8,100000
SNOW,7.9125494731431525,7.71,11.8,98620
ZM,7.409922686639285,5.17,95.4,99789
AZN,7.132213689799014,6.72,10.5,100000
QCOM,6.80267052712254,6.83,11.7,100000
FDX,6.68781567056015,6.08,11.7,100000
WMT,6.605251196792424,4.08,58.0,99740
PLTR,6.4901325121313915,6.56,10.7,100000
RTX,6.315271277963487,6.14,11.7,100000
XOM,6.0725870945598075,6.02,11.7,100000
BA,5.685598319903995,5.55,11.7,100000
IBM,5.026386079204527,4.91,11.7,100000
CVX,5.004991428081604,4.94,11.7,100000
LMT,4.87259338588074,4.605,11.9,98256
ALVG,4.823131500000001,3.67,100.0,100000
JNJ,4.5103429061294475,4.39,11.7,100000
NVDA,4.483502861341825,4.98,45.5,98759
BMW,4.3305458177600205,4.0,15.5,100000
GE,4.242070975484314,4.08,11.7,100000
BABA,4.127854705073142,2.71,95.2,100000
MBG,4.048880366120923,4.0,15.5,100000
MCD,3.970563343940827,3.88,100.0,11627
ADSGn,3.916464913439937,3.89,15.1,100000
AMD,3.6572139944194038,3.58,9.3,100000
JPM,3.4314143665352304,3.36,11.7,100000
AVGO,3.120762043545346,3.06,11.7,100000
ASML,2.9093120877238072,2.61,12.3,94754
TTE,2.761835630555198,2.67,15.5,100000
BRK.B,2.655048577680525,2.58,11.4,100000
GOOG,2.5773279265953843,1.92,79.8,100000
AMZN,2.472496758893281,1.77,94.9,100000
V,2.397359693473649,1.97,94.7,100000
SIEGn,2.3630803456280627,2.27,15.5,100000
LVMH,2.116939338786776,1.78,100.0,100000
AAPL,2.086165534332308,1.31,95.2,100000
META,1.758423730090941,1.68,79.6,100000
TSLA,1.750110028459284,1.29,94.5,100000
MSFT,1.3154595877891464,0.88,95.2,100000
