Symbol,Real Spread (bps),B&H Ret %,Octo Ret %,Octo MaxDD %,Octo Trades,Freq Ret %,Freq MaxDD %,Freq Trades
AAPL,2.1,171.4,38.03,-13.21,117,-5.68,-9.61,4211
NVDA,4.5,1521.7,82.24,-25.73,398,0.21,-8.22,4307
MSFT,1.3,142.1,24.32,-13.58,129,-3.03,-6.48,4391
TSLA,1.8,157.9,45.01,-25.82,539,-21.84,-24.66,4371
AMZN,2.5,63.5,27.85,-20.08,154,-5.11,-6.91,4427
GOOG,2.6,350.0,48.26,-15.95,167,-3.62,-8.16,4285
JPM,3.4,119.1,29.26,-19.67,100,-9.75,-12.13,4580
WMT,6.6,112.2,26.0,-8.61,92,-17.92,-18.63,4414
KO,11.1,64.0,15.48,-7.45,41,-43.63,-43.85,5623
GME,40.0,-14.9,-3.13,-49.6,941,-92.03,-92.79,4463
