symbol,real_spread_bps,bars_15m,net_profit_usd,return_pct,max_dd_pct,sharpe,win_rate_pct,n_trades,n_tp,n_sl,avg_win_usd,avg_loss_usd,profit_factor,stuck_position_at_end,unrealized_pnl_if_stuck
AVGO,3.12,6456,1645.12,6.58,1.54,2.24,85.7,154,133,21,27.07,-87.66,1.85,False,0.0
AMD,3.66,6456,1267.09,5.07,3.28,1.34,84.3,140,118,22,40.03,-157.09,1.37,False,0.0
NVDA,4.48,6456,1229.19,4.92,1.63,2.02,84.2,139,118,21,25.81,-81.38,1.69,False,0.0
SNOW,7.91,6456,1181.68,4.73,4.03,1.42,80.1,151,125,26,31.93,-88.01,1.46,True,-41.05
ARM,8.83,6456,601.59,2.41,3.14,0.57,79.7,143,115,28,41.57,-142.67,1.15,False,0.0
TSLA,1.75,6456,592.98,2.37,2.36,0.88,78.9,147,117,30,29.88,-92.69,1.21,False,0.0
JPM,3.43,6456,551.79,2.21,0.92,1.5,85.8,134,116,18,14.13,-56.46,1.51,False,0.0
V,2.4,6456,524.67,2.1,1.02,1.46,82.6,144,125,19,12.88,-40.34,1.52,False,0.0
QCOM,6.8,6456,503.01,2.01,2.41,0.63,78.8,156,125,31,26.45,-83.36,1.18,False,0.0
INTC,12.5,6456,486.14,1.94,4.5,0.51,78.2,142,114,28,38.24,-121.25,1.13,False,0.0
ASML,2.91,6456,480.98,1.92,1.42,0.72,80.6,124,102,22,25.52,-86.28,1.23,False,0.0
JNJ,4.51,6456,441.99,1.77,0.76,1.48,81.8,132,111,21,12.2,-36.46,1.51,False,0.0
GOOG,2.58,6456,373.47,1.49,1.11,0.76,80.6,134,110,24,18.21,-61.29,1.23,False,0.0
GE,4.24,6456,360.87,1.44,2.51,0.71,81.1,159,130,29,19.24,-70.35,1.18,True,-10.25
CSCO,9.31,6456,347.14,1.39,1.44,0.82,85.4,158,137,21,14.13,-67.86,1.22,False,0.0
DIS,8.87,6456,212.39,0.85,1.39,0.53,81.9,155,130,25,12.34,-48.4,1.16,False,0.0
CVX,5.0,6456,84.89,0.34,1.31,0.23,80.3,122,100,22,13.47,-51.48,1.07,False,0.0
BRK.B,2.66,6456,50.44,0.2,0.97,0.21,78.9,142,116,26,9.03,-32.05,1.05,False,0.0
AAPL,2.09,6456,47.03,0.19,1.63,0.14,81.8,132,111,21,14.02,-61.11,1.03,False,0.0
SBUX,9.5,6456,36.89,0.15,1.92,0.09,79.5,161,131,30,15.88,-60.46,1.02,False,0.0
BAC,10.24,6456,6.35,0.03,1.6,0.02,82.5,143,121,22,12.8,-60.18,1.0,False,0.0
GM,11.7,6456,3.66,0.01,2.06,0.02,81.4,145,118,27,16.5,-71.98,1.0,False,0.0
FDX,6.69,6456,-39.06,-0.16,1.49,-0.08,81.8,132,109,23,15.78,-71.05,1.0,True,-38.08
RTX,6.32,6456,-60.83,-0.24,1.86,-0.15,80.4,148,119,29,13.56,-57.59,0.97,True,-4.35
MCD,3.97,6456,-64.76,-0.26,1.6,-0.2,75.0,164,124,40,11.57,-36.28,0.96,True,-0.82
KO,11.12,6456,-106.8,-0.43,0.77,-0.35,79.7,148,120,28,8.44,-36.74,0.9,False,0.0
MSFT,1.32,6456,-124.71,-0.5,2.14,-0.26,75.4,142,107,35,16.53,-53.39,0.95,True,-24.5
META,1.76,6456,-123.82,-0.5,2.25,-0.21,76.6,154,118,36,21.08,-72.55,0.95,False,0.0
XOM,6.07,6430,-138.65,-0.55,1.73,-0.33,79.1,129,102,27,14.96,-61.67,0.92,False,0.0
AMZN,2.47,6456,-186.63,-0.75,2.15,-0.33,76.4,140,109,31,18.79,-66.77,0.91,True,6.16
PFE,16.24,6456,-222.06,-0.89,2.1,-0.61,83.4,145,123,22,10.08,-60.06,0.85,False,0.0
WMT,6.61,6456,-254.5,-1.02,2.31,-0.63,78.2,147,115,32,13.99,-58.24,0.86,False,0.0
IBM,5.03,6456,-291.02,-1.16,2.6,-0.43,77.4,137,106,31,21.49,-82.87,0.89,False,0.0
NFLX,7.97,6456,-376.7,-1.51,3.04,-0.71,79.9,164,132,32,15.82,-74.23,0.85,False,0.0
LMT,4.87,6456,-410.03,-1.64,2.72,-0.82,76.3,156,121,35,15.29,-60.17,0.82,True,-3.33
BA,5.69,6456,-680.7,-2.72,3.27,-1.24,74.5,153,117,36,17.65,-69.06,0.75,False,0.0
MSTR,8.53,6456,-863.37,-3.45,7.6,-0.56,78.7,150,118,32,46.0,-197.18,0.86,True,19.07
ZM,7.41,6456,-880.49,-3.52,4.22,-1.37,72.8,147,108,39,22.95,-83.41,0.74,False,0.0
PLTR,6.49,6456,-955.33,-3.82,7.38,-0.99,75.5,147,111,36,34.8,-134.59,0.8,True,27.43
BABA,4.13,6456,-956.28,-3.83,4.48,-1.6,65.5,148,97,51,24.35,-65.05,0.71,True,-0.61
T,19.7,6456,-1208.57,-4.83,5.44,-2.63,68.0,153,112,41,12.88,-51.84,0.53,True,-7.66
NKE,19.02,6456,-1459.43,-5.84,7.0,-2.77,71.9,167,121,46,15.19,-69.81,0.56,True,-1.38
RACE,11.43,6456,-1705.77,-6.82,7.05,-3.45,63.9,147,94,53,14.15,-57.26,0.44,True,-1.13
GME,39.98,6456,-2098.91,-8.4,8.62,-3.32,69.6,158,118,40,14.57,-77.12,0.43,False,0.0
SPCX,184.45,1453,-2152.61,-8.61,9.24,-6.58,41.5,41,29,12,34.02,-112.29,0.21,True,-36.03
