symbol,總回合數,平均持倉時間(小時),平均持倉天數(天),中位數持倉(小時),最長持倉天數(天),當日平倉比例(%),24H內平倉比例(%),超過3天長單比例(%)
AMD,805,21.0,0.87,17.8,5.7,47.8,75.7,6.0
NVDA,669,24.9,1.04,18.5,7.0,45.0,73.1,9.3
INTC,793,23.6,0.98,18.8,5.2,42.7,72.0,6.9
AVGO,763,21.1,0.88,17.8,5.2,48.2,75.4,6.2
QCOM,814,21.4,0.89,18.0,5.2,45.7,75.1,5.8
PLTR,825,20.7,0.86,18.0,5.0,48.5,77.3,5.1
ASML,756,23.8,0.99,18.8,5.0,43.0,72.5,6.6
JPM,758,19.4,0.81,17.8,5.0,48.4,78.1,4.0
SNOW,786,20.9,0.87,17.8,5.8,48.7,77.0,6.5
LMT,789,20.8,0.87,18.0,7.0,47.7,76.0,6.1
MSFT,2344,12.5,0.52,2.8,21.0,67.6,87.5,2.7
AAPL,2328,12.6,0.53,3.0,21.2,66.2,87.8,2.3
TSLA,739,31.0,1.29,21.5,72.9,39.1,68.5,10.4
